Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-29,16:50:00,264.92,264.92,264.75,264.88,8788,0
2017-11-29,16:55:00,264.89,264.9,264.59,264.6399,15243,0
2017-11-29,17:00:00,264.7,264.769,264.54,264.66,30322,0
2017-11-29,17:05:00,264.65,264.73,264.48,264.67,12972,0
2017-11-29,17:10:00,264.6688,264.73,264.48,264.48,7936,0
2017-11-29,17:15:00,264.49,264.75,264.43,264.63,9168,0
2017-11-29,17:20:00,264.66,264.725,264.55,264.66,224801,0
2017-11-29,17:25:00,264.61,264.66,264.37,264.37,23637,0
2017-11-29,17:30:00,264.4,264.5,264.28,264.5,14695,0
2017-11-29,17:35:00,264.49,264.51,264.3935,264.49,20537,0
2017-11-29,17:40:00,264.49,264.605,264.49,264.55,18124,0
2017-11-29,17:45:00,264.54,264.54,264.19,264.24,20819,0
2017-11-29,17:50:00,264.22,264.287,264.15,264.26,12462,0
2017-11-29,17:55:00,264.25,264.31,264.18,264.2397,13845,0
2017-11-29,18:00:00,264.2515,264.2515,264.08,264.14,14720,0
2017-11-29,18:05:00,264.14,264.22,264,264.03,33636,0
2017-11-29,18:10:00,264.09,264.23,264.0001,264.22,15609,0
2017-11-29,18:15:00,264.27,264.29,264.17,264.2106,32189,0
2017-11-29,18:20:00,264.22,264.43,264.18,264.3744,12660,0
2017-11-29,18:25:00,264.38,264.48,264.35,264.4,7270,0
2017-11-29,18:30:00,264.43,264.46,264.29,264.3492,10847,0
2017-11-29,18:35:00,264.36,264.38,264.24,264.26,33937,0
2017-11-29,18:40:00,264.2699,264.5,264.2699,264.47,11420,0
2017-11-29,18:45:00,264.4866,264.6,264.48,264.52,21758,0
2017-11-29,18:50:00,264.51,264.645,264.49,264.62,44254,0
2017-11-29,18:55:00,264.6152,264.63,264.47,264.48,13597,0
2017-11-29,19:00:00,264.46,264.58,264.44,264.51,6557,0
2017-11-29,19:05:00,264.51,264.51,264.39,264.4271,20421,0
2017-11-29,19:10:00,264.38,264.39,264.3,264.33,10907,0
2017-11-29,19:15:00,264.34,264.46,264.34,264.42,6667,0
2017-11-29,19:20:00,264.45,264.53,264.45,264.53,4999,0
2017-11-29,19:25:00,264.56,264.58,264.5239,264.55,9046,0
2017-11-29,19:30:00,264.58,264.6199,264.55,264.6199,6134,0
2017-11-29,19:35:00,264.5488,264.5934,264.469,264.47,5553,0
2017-11-29,19:40:00,264.505,264.5068,264.4163,264.42,12639,0
2017-11-29,19:45:00,264.4,264.44,264.3,264.4168,4029,0
2017-11-29,19:50:00,264.4,264.43,264.34,264.3816,7392,0
2017-11-29,19:55:00,264.4,264.43,264.25,264.2825,12306,0
2017-11-29,20:00:00,264.2734,264.35,264.2,264.271,6993,0
2017-11-29,20:05:00,264.2701,264.48,264.2701,264.42,11731,0
2017-11-29,20:10:00,264.44,264.469,264.38,264.459,6849,0
2017-11-29,20:15:00,264.4391,264.5702,264.4391,264.51,12967,0
2017-11-29,20:20:00,264.5,264.56,264.46,264.52,8726,0
2017-11-29,20:25:00,264.52,264.57,264.5,264.5487,5284,0
2017-11-29,20:30:00,264.53,264.5549,264.38,264.509,17895,0
2017-11-29,20:35:00,264.51,264.54,264.38,264.4332,5021,0
2017-11-29,20:40:00,264.43,264.43,264.32,264.32,11425,0
2017-11-29,20:45:00,264.3322,264.4901,264.3322,264.34,17776,0
2017-11-29,20:50:00,264.3621,264.4653,264.3,264.4653,8849,0
2017-11-29,20:55:00,264.45,264.5,264.42,264.439,6019,0
2017-11-29,21:00:00,264.48,264.56,264.37,264.37,9571,0
2017-11-29,21:05:00,264.4,264.439,264.33,264.42,13287,0
2017-11-29,21:10:00,264.4,264.4484,264.3265,264.37,17895,0
2017-11-29,21:15:00,264.37,264.41,264.23,264.23,19345,0
2017-11-29,21:20:00,264.221,264.26,264.17,264.24,15092,0
2017-11-29,21:25:00,264.24,264.3606,264.24,264.32,36674,0
2017-11-29,21:30:00,264.351,264.44,264.33,264.42,16863,0
2017-11-29,21:35:00,264.41,264.55,264.36,264.55,489615,0
2017-11-29,21:40:00,264.53,264.54,264.41,264.435,32823,0
2017-11-29,21:45:00,264.43,264.44,264.33,264.375,82943,0
2017-11-29,21:50:00,264.38,264.475,264.3751,264.45,29468,0
2017-11-29,21:55:00,264.46,264.58,264.46,264.5722,28621,0
2017-11-29,22:00:00,264.58,264.68,264.48,264.48,240794,0
2017-11-30,15:35:00,265.58,265.88,265.57,265.88,57501,0
2017-11-30,15:40:00,265.88,265.99,265.79,265.79,89314,0
2017-11-30,15:45:00,265.81,265.87,265.69,265.86,41124,0
2017-11-30,15:50:00,265.87,265.93,265.72,265.72,20476,0
2017-11-30,15:55:00,265.72,265.73,265.5,265.6286,24548,0
2017-11-30,16:00:00,265.613,265.81,265.613,265.77,21134,0
2017-11-30,16:05:00,265.76,265.8628,265.69,265.8417,17376,0
2017-11-30,16:10:00,265.85,265.93,265.83,265.885,20227,0
2017-11-30,16:15:00,265.86,266.101,265.86,266.01,20981,0
2017-11-30,16:20:00,265.98,265.99,265.8,265.91,16435,0
2017-11-30,16:25:00,265.9199,265.97,265.83,265.85,14025,0
2017-11-30,16:30:00,265.85,265.92,265.81,265.84,10777,0
2017-11-30,16:35:00,265.87,265.88,265.72,265.76,27453,0
2017-11-30,16:40:00,265.77,265.77,265.5989,265.62,20574,0
2017-11-30,16:45:00,265.63,265.78,265.6169,265.78,6386,0
2017-11-30,16:50:00,265.78,265.86,265.75,265.85,6541,0
2017-11-30,16:55:00,265.84,265.862,265.75,265.8618,39868,0
2017-11-30,17:00:00,265.8664,266.2,265.851,266.2,33054,0
2017-11-30,17:05:00,266.1701,266.51,266.1422,266.3499,37574,0
2017-11-30,17:10:00,266.36,266.4734,266.33,266.4,18480,0
2017-11-30,17:15:00,266.37,266.54,266.36,266.53,40355,0
2017-11-30,17:20:00,266.56,266.69,266.54,266.6566,43980,0
2017-11-30,17:25:00,266.64,266.64,266.41,266.47,20358,0
2017-11-30,17:30:00,266.45,266.45,266.2313,266.2799,50099,0
2017-11-30,17:35:00,266.31,266.36,266.22,266.31,59105,0
2017-11-30,17:40:00,266.31,266.33,266.1869,266.26,32903,0
2017-11-30,17:45:00,266.29,266.31,266.185,266.2899,31870,0
2017-11-30,17:50:00,266.27,266.33,266.24,266.33,15941,0
2017-11-30,17:55:00,266.32,266.37,266.28,266.325,11779,0
2017-11-30,18:00:00,266.33,266.41,266.28,266.38,16673,0
2017-11-30,18:05:00,266.39,266.4856,266.39,266.44,27099,0
2017-11-30,18:10:00,266.42,266.64,266.42,266.64,29508,0
2017-11-30,18:15:00,266.66,266.91,266.62,266.9,24566,0
2017-11-30,18:20:00,266.92,267,266.89,266.965,48359,0
2017-11-30,18:25:00,266.97,267.16,266.97,267.15,22288,0
2017-11-30,18:30:00,267.16,267.2,267.1164,267.1593,67331,0
2017-11-30,18:35:00,267.17,267.36,267.17,267.3,49569,0
2017-11-30,18:40:00,267.28,267.47,267.27,267.44,80783,0
2017-11-30,18:45:00,267.43,267.6499,267.375,267.59,128185,0
2017-11-30,18:50:00,267.5944,267.87,267.58,267.71,101306,0
2017-11-30,18:55:00,267.7,267.7052,267.48,267.49,100826,0
2017-11-30,19:00:00,267.4906,267.4906,267.27,267.4,34149,0
2017-11-30,19:05:00,267.38,267.69,267.38,267.532,19875,0
2017-11-30,19:10:00,267.56,267.56,267.39,267.44,24517,0
2017-11-30,19:15:00,267.45,267.49,267.37,267.47,115476,0
2017-11-30,19:20:00,267.45,267.45,267.17,267.26,29571,0
2017-11-30,19:25:00,267.2699,267.285,267.14,267.14,39271,0
2017-11-30,19:30:00,267.14,267.34,267.14,267.29,48609,0
2017-11-30,19:35:00,267.28,267.28,267.07,267.12,15171,0
2017-11-30,19:40:00,267.1256,267.21,267.06,267.1,22536,0
2017-11-30,19:45:00,267.0712,267.08,266.8652,266.91,26575,0
2017-11-30,19:50:00,266.9,266.96,266.86,266.88,29527,0
2017-11-30,19:55:00,266.87,266.8725,266.69,266.715,39607,0
2017-11-30,20:00:00,266.71,266.89,266.63,266.8701,18678,0
